Business_ID,Cuisine,Rating,Num_of_Reviews,Recommended
1AVWDNVlQGD4oo41jHyPUw,sushi,2.5,45.0,0
9a6I0FhQ-S7wZo4OaLThzw,mexican,2.5,53.0,0
IQ91FltwJmIPhS6fKKf2pw,chinese,2.5,55.0,0
lZy5TNhzgG53zEjK1N1w1w,chinese,2.5,57.0,0
AAPJkyU0Y7Aci0RZBdJONg,sushi,2.5,59.0,0
dP6SmZ5E5Nj64-3zZMjGSg,chinese,2.5,62.0,0
Z9n1ZvEpovOA578ZNavWbg,indian,2.5,62.0,0
3RuiiqUg8C3HZ-RuvlqtBg,indian,2.5,66.0,0
g9xSX-Tk7ePSdmSjt7pM8A,mexican,2.5,67.0,0
R0FryAIetxATjdYwOdy1aQ,indian,2.5,75.0,0
j0tkph2po_37gtZ1ufxiow,chinese,2.5,82.0,0
