Business_ID,Cuisine,Rating,Num_of_Reviews
RUnj4RTVOSbbHE5zyguhrg,chinese,3.5,72.0
BbODF2tZuw4xW_RFwMzwRg,chinese,3.5,40.0
oe8GEFE4QLFAKt87y7zcgA,chinese,4.5,735.0
dn8_HgoGUE4IFzwPI6GeLA,chinese,4.0,226.0
dv-RaOwKFizDe4c5-sVJ5w,chinese,4.0,222.0
emaMBqN_eWu71rgnQEnG3g,chinese,3.5,69.0
tsHdT1GDibhYYA0JA7Z9tg,chinese,4.0,392.0
EZo6MdrZ_EH_MzUl93xkyA,chinese,4.5,127.0
MXstrG3HjF83LcxAd8OpTw,chinese,4.0,59.0
E1fFQqXuO2Ido9hGDmTbDg,chinese,4.5,10.0
a5Ei7GYvlXCDv-j3q1lBLg,chinese,4.0,15.0
8xDbEfYXuPwi-94LLcb22A,chinese,3.5,78.0
9gktK6DNHb3k0y-o6nP7pA,chinese,3.5,62.0
IqbHVeqgewmbeSMXBhbqSw,chinese,3.5,289.0
WRPJeH3goSpj5ke3Pkrnfw,chinese,4.0,183.0
GmtybiZEicQ4qqPTzhqVew,chinese,3.5,53.0
HjUwZOlok1TabhS4S1ya2w,chinese,4.0,105.0
BcOuqkUniZJG5NLpdzeOYQ,chinese,3.5,57.0
RoPrfBqmRTqw_cBqcWAfYA,chinese,4.0,165.0
_eWN3zih_cnY0fiLWva9EA,chinese,4.0,23.0
ayw4_D-wSCIr-xcJ3_aZ4A,chinese,3.5,35.0
3gqKLANaXNsHZnPDjKrcTg,chinese,4.5,347.0
BAKjtydOJj6KrsGCo-6DEQ,chinese,4.0,13.0
LwEzFDBX-nUHYHgAddfaxA,chinese,3.0,337.0
IgTNgGE0qvTjkmCUzrNwtQ,chinese,3.5,243.0
EFihj7vsRRXiF5la-UURyw,chinese,3.5,750.0
Yb6PQ_4YQpJ0SVZ1tetkbg,chinese,3.5,108.0
S2NwTMDe4Vcs6nAoTeMYlA,chinese,3.5,336.0
hh0W5CPtx2MoyQGb1kAEEA,chinese,3.5,205.0
sgKNAn72O2XMQXS6AWmf9w,chinese,4.0,79.0
1dFOF1HPaThSCsdiqR7DrA,chinese,3.5,286.0
poRWXhCG1-mVxs1kuw_ZEg,chinese,3.0,170.0
YfJZBmm9tfW--W_WIGReqA,chinese,4.0,23.0
ru9KtvY8f_b2SKrKwtS3CA,chinese,4.0,92.0
7yi9uA-LmrGpG6OOuK2byg,chinese,4.0,21.0
u5-S5ElOzXnavuZ2gFsCpg,chinese,3.5,185.0
OyUqDYNctt81gsNLvfHp5A,chinese,4.0,13.0
rsbjGGa8kh14ZWYSnK5rGQ,chinese,3.5,132.0
zPMSuQJRpXi11G_Tqv1LJQ,chinese,4.0,23.0
k34VgKhpuIRPEr8vKSMwjA,chinese,3.5,21.0
0odtQty6tMRPQ7UrNysUxw,chinese,3.5,11.0
