Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code,Cuisine
U2aUFZARLeSMf4RQIxjuTw,Lucky House Kitchen,343 Lewis Ave,"{'latitude': 40.6838402152061, 'longitude': -73.9351565390825}",84,4.5,11233,chinese
dDXtga5Kgo5B1twdezcZJA,Auntie Guan's Kitchen 108,108 W 14th St,"{'latitude': 40.7377213477598, 'longitude': -73.9974148512518}",319,3.5,10011,chinese
ZCAkVl5SeCDeBWg_xjfYeg,Clay Pot - East Village,58 St Mark's Pl,"{'latitude': 40.7279880270274, 'longitude': -73.9865907985248}",227,4.5,10003,chinese
xCHApgtkLpEyh0lz-uhZvg,Szechuan Garden,239 W 105th St,"{'latitude': 40.8003719688892, 'longitude': -73.9676491308602}",235,4,10025,chinese
sbAy2LhWHjqmOX3wBEsPNA,Jiangnan Pancake,1818 86th St,"{'latitude': 40.60679, 'longitude': -74.00219}",7,5,11214,chinese
3fQ9IExhN9KMqGHVm_9AEQ,Wing Cheong Restaurant,1389 Fulton St,"{'latitude': 40.680375, 'longitude': -73.945514}",51,4,11216,chinese
0k678lCWQyReNi0lARlOmw,China Blue,135 Watts St,"{'latitude': 40.724038, 'longitude': -74.009958}",602,4,10013,chinese
BkXb82Y2OIsQ5RpNNQOYmQ,China Express,192 Union Ave,"{'latitude': 40.7061859, 'longitude': -73.9501435}",90,4,11211,chinese
bVkjBJlAIwKAj9Aw1KVWjA,Dim Sum Palace,334 W 46th St,"{'latitude': 40.76015, 'longitude': -73.9893699}",966,4,10036,chinese
LpVbI-E9C-CSp7WhU5h2Iw,Fishmarket Restaurant,111 South St,"{'latitude': 40.70717, 'longitude': -74.00192}",486,4.5,10038,chinese
SVJNB9LqI13jtVyKMZVqeg,Uncle Ted's Modern Chinese Cuisine,163 Bleecker St,"{'latitude': 40.72882, 'longitude': -73.999961}",430,4,10012,chinese
rPTX2J5KGDkN1QhPD-QOvg,Xifu Food,318 Livingston St,"{'latitude': 40.6880326, 'longitude': -73.9819963}",93,4.5,11217,chinese
3W6S2wraTAj5y4Cd8eQvvw,8 Dragon & Phoenix Restaurant,22-17 31st St,"{'latitude': 40.7754678279161, 'longitude': -73.911422342062}",138,4,11105,chinese
ynB8T3htx8s5V0YV8gVPGA,21 Shanghai House,21 Division St,"{'latitude': 40.7140138244835, 'longitude': -73.9964454932541}",401,4,10002,chinese
AvTezlpt3GXTdSEnXbHP4w,Fatima's Halal Kitchen,25-25 Broadway,"{'latitude': 40.7631186084319, 'longitude': -73.9275405041124}",354,4,11106,chinese
k_y6o8zqI3cODdKABwWZ9g,China Garden,133 Irving Ave,"{'latitude': 40.703364, 'longitude': -73.921517}",7,5,11237,chinese
v0opDMezc6pKgdfR22KUnQ,Da Tang Szechuan,18 W 38th St,"{'latitude': 40.75128, 'longitude': -73.98376}",48,4.5,10018,chinese
6tASYtO9zOrXr8-LPnAToQ,Zest Szechuan,45 W 39th St,"{'latitude': 40.75274, 'longitude': -73.98445}",469,4,10018,chinese
f7QVr9xC8UWXdVz9QvbmNg,Chive Blossom NYC,394 Bedford Ave,"{'latitude': 40.710796, 'longitude': -73.963901}",103,4.5,11249,chinese
R26zweQ8-xoZS7iHkXQOvw,Shanghai 21,21 Mott St,"{'latitude': 40.7144199, 'longitude': -73.99889}",1484,4,10013,chinese
QQfwlKFD6X8-ZXf7gfQZqg,Hardee Chinese- American,351 Myrtle Ave,"{'latitude': 40.6933441162109, 'longitude': -73.9722290039062}",17,4.5,11205,chinese
HScFap2SwbUlfC-QXVkxFA,Xi'an Famous Foods,24 W 45th St,"{'latitude': 40.75585, 'longitude': -73.98078}",1486,4,10036,chinese
Kqb7MjTPNkjPMoFRd-rWpw,MáLà Project,122 1st Ave,"{'latitude': 40.72713, 'longitude': -73.98542}",521,4,10009,chinese
rJ4N10Nbh-GM49qOSGFoAw,Old Xi'an,164 Pearl St,"{'latitude': 40.70591, 'longitude': -74.00747}",92,4,10005,chinese
2UxAkvKkkWNwqZi9H0OzWw,Dian Kitchen,435 E 9th St,"{'latitude': 40.72762, 'longitude': -73.9832799}",131,5,10009,chinese
K0qsGnFv-edPDqVBdLCocQ,China Garden,39-20 47th Ave,"{'latitude': 40.74166, 'longitude': -73.92577}",63,4,11104,chinese
7_Dwf153h3_waVtmfYd8QQ,Grand Sichuan NY II,98-108 Queens Blvd,"{'latitude': 40.7274381816387, 'longitude': -73.8557088375092}",208,4,11374,chinese
YIwYw_A_LRwK66HBTzogYQ,Xing's Chef,46-20 Ditmars Blvd,"{'latitude': 40.7701092079077, 'longitude': -73.9021204913637}",76,4,11105,chinese
lSrdxUNxyMgh5YU903JUiw,Ningbo Cafe,21 S End Ave,"{'latitude': 40.70814, 'longitude': -74.01779}",132,4,10280,chinese
k8GFfCXO2FIIJIo0ICYSRA,Bao Bao Cafe,106 Greenwich St,"{'latitude': 40.70854, 'longitude': -74.01367}",104,4,10006,chinese
Gd3_3mxOvj2xYiqysV8rbQ,Xi'an Famous Foods,81 St Marks Pl,"{'latitude': 40.7279, 'longitude': -73.98541}",1552,4,10003,chinese
BPErPpKSNluwcjbKRgze3w,Xi'an Famous Foods,328 E 78th St,"{'latitude': 40.77197, 'longitude': -73.95452}",457,4,10075,chinese
AJKcsxpc9IthvhdEnfqogg,Good Chinese Restaurant,663 Knickerbocker Ave,"{'latitude': 40.6951122106303, 'longitude': -73.9116479761463}",108,3.5,11221,chinese
Q1TpfbuPwKPFrNFyu-u2_g,Han Dynasty,1 Dekalb Ave,"{'latitude': 40.6911319610036, 'longitude': -73.9825977757573}",187,4,11201,chinese
MzA6gitJKqfW4VrdS7AiQw,PACIFIC MOON,59-02 Broadway,"{'latitude': 40.75119, 'longitude': -73.90269}",58,4.5,11377,chinese
9-vKFnUby_6-pR6UJxjzMw,Sun Hing Lung Co,58 Henry St,"{'latitude': 40.71275, 'longitude': -73.99508}",160,4.5,10002,chinese
tsTGTBrz2TqrYRgdr6vEJQ,C And Y Chinese,399 5th Ave,"{'latitude': 40.67042, 'longitude': -73.98496}",46,4,11215,chinese
jc7lVTvmYMIK5RNpENtS6w,Szechuan Mountain House,23 St Marks Pl,"{'latitude': 40.72911, 'longitude': -73.98858}",219,4,10003,chinese
Lbs8QBRN1U7IYBo5Mcv-RQ,88 Lan Zhou Handmade Noodle,40 Bowery St,"{'latitude': 40.7155, 'longitude': -73.99675}",1630,4,10013,chinese
iSjPBJRiWqrgxW7ZM3CGig,Birds of a Feather,191 Grand St,"{'latitude': 40.71442, 'longitude': -73.960441}",247,4,11211,chinese
l44CFBTejwL0ElKmkH7xQQ,Decoy,529 Hudson St,"{'latitude': 40.734196, 'longitude': -74.006519}",370,4,10014,chinese
oowNI_aUmGEFa_VW8BFgRg,Tri Dim Shanghai,1378 3rd Ave,"{'latitude': 40.77395, 'longitude': -73.95793}",270,4,10075,chinese
w3wKbjuNCZnYoPOr-FCk5w,New Moon,536 3rd Ave,"{'latitude': 40.74692, 'longitude': -73.97766}",84,4,10016,chinese
DpfE0gPBXj-aj2pnEh4E2Q,Wei Williamsburg,145 Borinquen Pl,"{'latitude': 40.7107868, 'longitude': -73.9542168}",123,3.5,11211,chinese
mUl0wtO7tPkBocuJqZ-7Dw,Dun Huang -  Grand Central,320 Lexington Ave,"{'latitude': 40.74922, 'longitude': -73.97785}",89,4.5,10016,chinese
R7EGjHWw0tNheY6-ahH8fQ,Tuome,536 E 5th St,"{'latitude': 40.72412482724, 'longitude': -73.9828906263924}",407,4.5,10009,chinese
83ZcxzvtHX2PmsH_wPReOw,Grand Sichuan House,8701 5th Ave,"{'latitude': 40.62075, 'longitude': -74.02668}",224,4,11209,chinese
M-odQWSEfsR2mVEw7nKG-g,Nyonya,199 Grand St,"{'latitude': 40.7190148, 'longitude': -73.9968228}",1936,4,10013,chinese
0vg2Z-HPwkyVVX613j2ysg,Peng's Noodle Folk,1659 1st Ave,"{'latitude': 40.77726, 'longitude': -73.94932}",362,4.5,10028,chinese
scTDvJ2M2jDbb1ntVeIyxA,Hao Noodle and Tea By Madam Zhu's Kitchen,401 6th Ave,"{'latitude': 40.7334863190479, 'longitude': -73.9998929006093}",548,4,10014,chinese
bnDfFdiCcPzhuNWUJORvLQ,Noodle Village,13 Mott St,"{'latitude': 40.714167, 'longitude': -73.998803}",932,4,10013,chinese
1fVp9c5Vw04ig171a_juRw,U Like,602 Marcy Ave,"{'latitude': 40.694007, 'longitude': -73.949259}",40,4.5,11206,chinese
vWEKZVPIYFewfqCOkkvVIQ,Lin's Garden,652 Seneca Ave,"{'latitude': 40.7034531, 'longitude': -73.9090729}",39,4,11385,chinese
SNhDVaf_n7VDZcfry8mYdA,The Bao,13 St Marks Pl,"{'latitude': 40.72939, 'longitude': -73.9889199}",1023,3.5,10003,chinese
8ig0yf0003DAp4YOGTlbVg,Spicy Village,68 Forsyth St,"{'latitude': 40.71695, 'longitude': -73.99327}",579,4,10002,chinese
X4hEgOBOLTYFhlWO-gAFxQ,Tipsy Shanghai,228 Thompson St,"{'latitude': 40.72929, 'longitude': -73.99882}",89,4,10012,chinese
YvMLbSK_tWmaOjYGwOUd5Q,Xi’an Famous Foods,8 Liberty Pl,"{'latitude': 40.709193, 'longitude': -74.009347}",43,4,10038,chinese
nI1UYDCYUTt23TpGxqnLKg,Buddakan,75 9th Ave,"{'latitude': 40.7422762672197, 'longitude': -74.0048000961542}",3726,4,10011,chinese
AfF4zVbVI27zwgkzOLYDFg,Xi'an Famous Foods,648 Manhattan Ave,"{'latitude': 40.7243301734731, 'longitude': -73.9509299397469}",200,4,11222,chinese
sfsjk1h50ooC2ioY7m48gw,Pig Heaven,1420 3rd Ave,"{'latitude': 40.77544, 'longitude': -73.95686}",256,4,10028,chinese
I_Va7AZSHpEwX75S-3hHLQ,Noodle Fun,1744 1st Ave,"{'latitude': 40.7795333862305, 'longitude': -73.9470367431641}",134,4,10128,chinese
-7PgxPVUGZh__U3CxRFKxg,Trinidad Golden Place Restaurant,788 Nostrand Ave,"{'latitude': 40.6718291030037, 'longitude': -73.950525317791}",114,4.5,11216,chinese
MdDj13LgIs0WdbIdiyqB7Q,Pinch Chinese,177 Prince St,"{'latitude': 40.72645, 'longitude': -74.0018}",263,4,10012,chinese
pCfGgX0WxGASGM4-Yhr2Pw,Hao Noodle Chelsea,343 W 14th St,"{'latitude': 40.7406999, 'longitude': -74.00436}",164,4,10014,chinese
tS4aiWBYgzlqKX898jr3_w,Shun Wang Restaurant,81-25 Broadway,"{'latitude': 40.7431373596191, 'longitude': -73.8830413818359}",143,3.5,11373,chinese
zPK48x2wvTmJTQ_13bbeRQ,Hong Kong Cafe,357 Franklin Ave,"{'latitude': 40.687202, 'longitude': -73.956611}",23,4,11238,chinese
rHg81VzTGVREMCfMmgYMog,Delicious Wok,5952 Summerfield St,"{'latitude': 40.700328, 'longitude': -73.896705}",26,4.5,11385,chinese
tfMPbnQqJ1P1RIab-o6gtg,Kum Kau,465 Myrtle Ave,"{'latitude': 40.693573, 'longitude': -73.966702}",237,3.5,11205,chinese
wurhcLKXD4YJ5XfTxpbE5Q,Grand Sichuan,229 9th Ave,"{'latitude': 40.747413, 'longitude': -74.001052}",422,3.5,10001,chinese
xOl46WKcLGOeU9N49rN45Q,M Greenpoint,732 Manhattan Ave,"{'latitude': 40.72632, 'longitude': -73.95193}",75,3.5,11222,chinese
54om5q7V4anmIXw2PdNJbA,Chen's Buffet Bar,32 Cedar St,"{'latitude': 40.70712, 'longitude': -74.00845}",31,4,10038,chinese
YdAtCf_13UK-uvXuOMrhNg,Radiance,208 E 50th St,"{'latitude': 40.7555779423723, 'longitude': -73.9703503944427}",155,4,10022,chinese
i6RhqnCJ_oUfTu5LikGXUg,Dun Huang - East Village,300 E 12th St,"{'latitude': 40.73081, 'longitude': -73.98568}",129,4.5,10003,chinese
zrV2yUsz1SxymeH51iRBRw,Chuan Tian Xia 川天下,5502 7th Ave,"{'latitude': 40.6397, 'longitude': -74.009131}",79,4.5,11220,chinese
9FwX2ye1eCxnPVoQOHHr3g,East Wind Snack Shop,471 16th St,"{'latitude': 40.6603409, 'longitude': -73.9799505}",162,4.5,11215,chinese
3K7Kc82bhU6-qjAjsBs3Fw,Lao Bei Fang Dumpling House,8305 Broadway,"{'latitude': 40.741153717041, 'longitude': -73.8796234130859}",543,4,11373,chinese
tDYk6DmmU3buWBs9G0NBXQ,China Restaurant,937 Utica Ave,"{'latitude': 40.650260925293, 'longitude': -73.929931640625}",59,4.5,11203,chinese
lgS9lE0Y9FhzT68zCj5QCw,Hunan Bistro,96 3rd Ave,"{'latitude': 40.73234, 'longitude': -73.9881}",198,3.5,10003,chinese
ye-TSU-mu1Gd5TAJOpI5Mg,Lichee Nut,162 Montague St,"{'latitude': 40.694149, 'longitude': -73.9928131}",254,3,11201,chinese
5YBYGnZtTGJABXC4Jahhzg,Jasmine Restaurant,216 E 49th St,"{'latitude': 40.75467, 'longitude': -73.97057}",200,4,10017,chinese
6hacsz7FUwprKTjJb6KFog,Joe's Shanghai,24 W 56th St,"{'latitude': 40.7627694517048, 'longitude': -73.9759005803566}",1417,3.5,10019,chinese
C7CFAdrczXxNhnN-MNJqmw,Niu Noodle House,15 Greenwich Ave,"{'latitude': 40.734352, 'longitude': -74.000082}",649,4,10014,chinese
6oQKDCJrgDffPKXPTPBXlA,King Wah Restaurant,6417 Fresh Pond Rd,"{'latitude': 40.7099237520059, 'longitude': -73.8989976712028}",70,3.5,11385,chinese
gQ6DNeLNWQV-zwWyuFeBpg,No.1 Chinese Restaurant,10 S William St,"{'latitude': 40.7046671846472, 'longitude': -74.0105490435282}",150,3,10004,chinese
kwqOmEwWJ0D9PyCdFGE3-g,Xian Famous Foods,14 E 34th St,"{'latitude': 40.747844, 'longitude': -73.983901}",648,4,10016,chinese
97q5nUQTuBo_h00XCxna2A,Tasty Hand-Pulled Noodles,1 Doyers St,"{'latitude': 40.7142, 'longitude': -73.99787}",1492,4,10013,chinese
5rX_7IkvFx5MKqS3ikQe3Q,Fortune House,82 Henry St,"{'latitude': 40.698455, 'longitude': -73.992805}",110,3,11201,chinese
Dqu-5RxNbbpBsL1Ssht9Ng,Hunan Slurp,112 1st Ave,"{'latitude': 40.72669, 'longitude': -73.98563}",162,4,10009,chinese
A-ert0jDRBfku9ogyW_mEg,Spice Symphony,150 E 50th St,"{'latitude': 40.7558937072754, 'longitude': -73.9715347290039}",346,4.5,10022,chinese
oJjMYhA6z1_BVaQpSdyl8g,Golden Forest,353 Grand St,"{'latitude': 40.7167, 'longitude': -73.98945}",143,4,10002,chinese
oD0mN9vXuc1gFRyw1CG-Pw,New China Wok Chinese Kitchen,57 4th Ave,"{'latitude': 40.68257, 'longitude': -73.97927}",22,4,11217,chinese
kwGaeWUVC_MIxMFw0sM-Ww,Hong Kong Express,989 Wyckoff Ave,"{'latitude': 40.69617, 'longitude': -73.904721}",43,4,11385,chinese
olRNNJCJ2TJvPRmjBiOcGA,Silky Kitchen,137 E 13th St,"{'latitude': 40.73297, 'longitude': -73.98829}",132,4.5,10003,chinese
7ZQSMqWzvXMSetXnii2fBg,Excellent Dumpling House,165 W 23rd St,"{'latitude': 40.7440494396358, 'longitude': -73.995028194335}",494,4,10011,chinese
kBZggrnSP1kcUMnsnfkTaQ,Nan Xiang Xiao Long Bao,38-12 Prince St,"{'latitude': 40.7598810063385, 'longitude': -73.8325853625656}",3307,4,11354,chinese
2rSmA4IK51QAQj60YGvjnw,New Asian Cuisine,44-20 48th Ave,"{'latitude': 40.7393524, 'longitude': -73.9210213}",19,4.5,11377,chinese
lQ8Fzgji9qmgRXkFcvAsVQ,Chong Qing Xiao Mian,796 9th Ave,"{'latitude': 40.76513, 'longitude': -73.98753}",265,4,10019,chinese
zdX9mwhoknXXYL1GCstnow,Lucky Garden,305L Wyckoff Ave,"{'latitude': 40.7003, 'longitude': -73.91221}",10,4,11237,chinese
tA_AoGEL_oGllbU2j77Shw,Tiny Shanghai,122 Mulberry St,"{'latitude': 40.71781, 'longitude': -73.99795}",167,4.5,10013,chinese
Aux2Mp7bGnF3S6h60ab3iQ,Yummy City,1557 Lexington Ave,"{'latitude': 40.7879244458184, 'longitude': -73.948986355818}",37,4,10029,chinese
2rqb2T5IS2D7A6UB5QwNKw,Yun Nan Flavor Garden,5121 8th Ave,"{'latitude': 40.639996, 'longitude': -74.004509}",269,4,11220,chinese
UNyGz06_7RendbswIyNYtA,Shu Han Ju,465 6th Ave,"{'latitude': 40.73558, 'longitude': -73.99843}",149,3.5,10011,chinese
YzyHW3w0HUyaG8EvplNT1A,Liu's Shanghai,1869 Bath Ave,"{'latitude': 40.6026411895768, 'longitude': -74.0038766549142}",326,4.5,11214,chinese
Bb0h5Rs8ugSM2CjulRhfBw,Spicy Moon,328 E 6th St,"{'latitude': 40.72674, 'longitude': -73.98722}",76,4.5,10003,chinese
kxv4jD_qXRPVrV0oPR7isQ,YU KITCHEN,2656 Broadway,"{'latitude': 40.79759, 'longitude': -73.9693099}",43,4.5,10025,chinese
OWALknbRruLyO8KFPATf_Q,New Jin Shing,1794 Broadway,"{'latitude': 40.682073, 'longitude': -73.909389}",29,4,11207,chinese
5FbVGhTO8U4wh0AATsN9tA,Wan's Garden,6826 Forest Ave,"{'latitude': 40.702864, 'longitude': -73.901421}",23,4.5,11385,chinese
dRKdRpPEo6rJ2X0RYbfZzQ,Golden Z,1410 Ave U,"{'latitude': 40.598533, 'longitude': -73.956928}",75,4,11229,chinese
neQM053ovAOrf1sVSAPI9w,Radiance Tea House and Books,158 W 55th St,"{'latitude': 40.7639799, 'longitude': -73.98065}",816,4,10019,chinese
u6Yrkowq8k5zBpClvjX2FA,Happy Garden Chinese Restaurant,7211 3rd Ave,"{'latitude': 40.63314, 'longitude': -74.02678}",34,4,11209,chinese
wDuf4Qz9qsC62amLZgWNJQ,Little Alley,550 3rd Ave,"{'latitude': 40.74744, 'longitude': -73.97728}",280,4,10016,chinese
SBJHGtqJyfaU47NPjGAU6A,China Jade,1643 2nd Ave,"{'latitude': 40.77747, 'longitude': -73.95239}",113,3.5,10028,chinese
Bwj7nzWphGV6FaZ_ygTSOg,Happy Hot Hunan,969 Amsterdam Ave,"{'latitude': 40.80133, 'longitude': -73.96466}",134,3.5,10025,chinese
31K2IfTO2iQkgJ5hSY-Gbg,Bang Chengdu Street Kitchen,158 W 23rd St,"{'latitude': 40.74355, 'longitude': -73.99507}",162,4,10011,chinese
qGgQMVExGERqGhZNDM2ROg,Wu Liang Ye,36 W 48th St,"{'latitude': 40.75781, 'longitude': -73.97994}",485,3.5,10036,chinese
OQ93Z1tAmdPqK7twEEvISA,Happy Fortune Chinese Restaurant,47-57 47th St,"{'latitude': 40.7399544, 'longitude': -73.9181973}",22,3.5,11377,chinese
H1jops1lmuhrq9lP7lEGJQ,Flor De Mayo,484 Amsterdam Ave,"{'latitude': 40.78609, 'longitude': -73.97658}",1118,4,10024,chinese
WEa266y5CsANNqvyfG7elA,King's Kitchen,158 Lewis Ave,"{'latitude': 40.6913483887911, 'longitude': -73.9367651939392}",5,5,11221,chinese
d6pcRMV1YUDFTKO_p9d-sA,Wong Kwong Hop,85-27 Grand Ave,"{'latitude': 40.73566, 'longitude': -73.88151}",62,4.5,11373,chinese
IhSVn0TaX8xXb3wcQ-fgcA,Vanessa's Dumpling House,118A Eldridge St,"{'latitude': 40.71839, 'longitude': -73.9917399}",2436,4,10002,chinese
WIj12zDqIbBucW1hXYhrew,King's Kitchen,92 E Broadway,"{'latitude': 40.71399, 'longitude': -73.99367}",219,4,10002,chinese
eVDV1ALwvre01Xo8v6BCoQ,La Salle Dumpling Room,35 W End Ave,"{'latitude': 40.7731596, 'longitude': -73.98951}",138,4,10023,chinese
DOa_Hm5HHT99GOvlhbydaQ,Le Sia,11 E 7th St,"{'latitude': 40.728886, 'longitude': -73.989841}",182,4,10003,chinese
cWPdP8_GqEWxZKRiOonfDg,Di Di Restaurant,2318 Nostrand Ave,"{'latitude': 40.62813, 'longitude': -73.94729}",37,4,11210,chinese
mDajKjZjRN4tVGEJFOgF9w,Wok 88,1570 3rd Ave,"{'latitude': 40.78042, 'longitude': -73.95322}",247,3.5,10128,chinese
jwKPVep2qZYBUA6SLLQPvg,Legend 72,127 W 72nd St,"{'latitude': 40.77796, 'longitude': -73.9796901}",203,3.5,10023,chinese
Va_mnsEvBghHXvc7uZIWJQ,Spice Symphony,182 Lexington Ave,"{'latitude': 40.744722, 'longitude': -73.981202}",553,4,10016,chinese
5TnBfeoBpxPPwIXMGBMasg,New Double Dragon,37 1st Ave,"{'latitude': 40.7242431, 'longitude': -73.9881041}",69,4,10003,chinese
pBNMZp_tKCAfRNx7-ybcHQ,Calle Dao - Chelsea,461 W 23rd St,"{'latitude': 40.7476515, 'longitude': -74.0037312}",384,4.5,10011,chinese
Lp8vAE5nHSt5zbu-lSGK8A,Hop Lee Restaurant,16 Mott St,"{'latitude': 40.71426, 'longitude': -73.99849}",279,4,10013,chinese
lbZqfX4vvCr1aMLuEey3Ag,Chang Heng,54 Willoughby St,"{'latitude': 40.69213, 'longitude': -73.9867}",16,3.5,11201,chinese
pMgk7E6bCG5Aj2sLuowobw,Golden Chopstick,789 Franklin Ave,"{'latitude': 40.6718339, 'longitude': -73.957229}",64,3.5,11238,chinese
RUnj4RTVOSbbHE5zyguhrg,No 1 Flower Drum House,21-05 31st St,"{'latitude': 40.777674, 'longitude': -73.908463}",72,3.5,11105,chinese
BbODF2tZuw4xW_RFwMzwRg,Jiangnan Chinese Cuisine,103 Washington St,"{'latitude': 40.70838, 'longitude': -74.01408}",40,3.5,10006,chinese
oe8GEFE4QLFAKt87y7zcgA,Very Fresh Noodles,425 W 15th St,"{'latitude': 40.7423387008486, 'longitude': -74.00625}",735,4.5,10011,chinese
dn8_HgoGUE4IFzwPI6GeLA,Kai Feng Fu 開封府鍋貼,4801 8th Ave,"{'latitude': 40.64201, 'longitude': -74.00238}",226,4,11220,chinese
dv-RaOwKFizDe4c5-sVJ5w,Peking BBQ,58-11 Woodside Ave,"{'latitude': 40.7456439082048, 'longitude': -73.9062357614363}",222,4,11377,chinese
emaMBqN_eWu71rgnQEnG3g,Szechuan Garden,463 7th Ave,"{'latitude': 40.662378, 'longitude': -73.98508}",69,3.5,11215,chinese
tsHdT1GDibhYYA0JA7Z9tg,Xi'an Famous Foods,37 W 54th St,"{'latitude': 40.7620999, 'longitude': -73.97732}",392,4,10019,chinese
EZo6MdrZ_EH_MzUl93xkyA,Junzi Kitchen,170 Bleecker St,"{'latitude': 40.72878, 'longitude': -74.00061}",127,4.5,10012,chinese
MXstrG3HjF83LcxAd8OpTw,New Li Yuan,273 W 38th St,"{'latitude': 40.754589387013, 'longitude': -73.9912518276348}",59,4,10018,chinese
E1fFQqXuO2Ido9hGDmTbDg,Good Luck Chinese Restaurant,4516 48th Ave,"{'latitude': 40.7392043166647, 'longitude': -73.9197625899353}",10,4.5,11377,chinese
a5Ei7GYvlXCDv-j3q1lBLg,China Delight,722 4th Ave,"{'latitude': 40.661844, 'longitude': -73.996885}",15,4,11232,chinese
8xDbEfYXuPwi-94LLcb22A,Tomorrow,200 Pearl St,"{'latitude': 40.707425, 'longitude': -74.004785}",78,3.5,10038,chinese
9gktK6DNHb3k0y-o6nP7pA,J's Wong,717 Franklin Ave,"{'latitude': 40.67402, 'longitude': -73.95661}",62,3.5,11238,chinese
IqbHVeqgewmbeSMXBhbqSw,Hunan Manor,339 Lexington Ave,"{'latitude': 40.74965, 'longitude': -73.97707}",289,3.5,10016,chinese
WRPJeH3goSpj5ke3Pkrnfw,Burp Bowl Cafe,134 E 27th St,"{'latitude': 40.74183, 'longitude': -73.98271}",183,4,10010,chinese
GmtybiZEicQ4qqPTzhqVew,Taste of China,7100 Grand Ave,"{'latitude': 40.72762, 'longitude': -73.892011}",53,3.5,11378,chinese
HjUwZOlok1TabhS4S1ya2w,Just for Fen,229 1st Ave,"{'latitude': 40.7311641211205, 'longitude': -73.9830346405506}",105,4,10003,chinese
BcOuqkUniZJG5NLpdzeOYQ,Friendly Restaurant,1205 40th Ave,"{'latitude': 40.7559963313064, 'longitude': -73.9424634196434}",57,3.5,11101,chinese
RoPrfBqmRTqw_cBqcWAfYA,Dim Sum Bar,167 Grand St,"{'latitude': 40.714728, 'longitude': -73.961372}",165,4,11249,chinese
_eWN3zih_cnY0fiLWva9EA,Li Wan Restaurant,6428 Metropolitan Ave,"{'latitude': 40.7122917175293, 'longitude': -73.8961334228516}",23,4,11379,chinese
ayw4_D-wSCIr-xcJ3_aZ4A,Wah Kwoon Chinese Kitchen,146 Nassau Ave,"{'latitude': 40.72463, 'longitude': -73.947486}",35,3.5,11222,chinese
3gqKLANaXNsHZnPDjKrcTg,Win Son,159 Graham Ave,"{'latitude': 40.70747, 'longitude': -73.94339}",347,4.5,11206,chinese
BAKjtydOJj6KrsGCo-6DEQ,Wing Hing Chinese Restaurant,312 Rogers Ave,"{'latitude': 40.665832, 'longitude': -73.953918}",13,4,11225,chinese
LwEzFDBX-nUHYHgAddfaxA,Szechuan Gourmet 56,242 W 56th St,"{'latitude': 40.765717, 'longitude': -73.9828671}",337,3,10019,chinese
IgTNgGE0qvTjkmCUzrNwtQ,Michael & Ping's Modern Chinese Take-Out,437 3rd Ave,"{'latitude': 40.672501, 'longitude': -73.990177}",243,3.5,11215,chinese
EFihj7vsRRXiF5la-UURyw,Hop Kee,21 Mott St,"{'latitude': 40.71443, 'longitude': -73.99889}",750,3.5,10013,chinese
